observation_date,USSTHPI
1975-01-01,60.01
1975-04-01,60.95
1975-07-01,61.25
1975-10-01,62.24
1976-01-01,62.77
1976-04-01,65.42
1976-07-01,66.55
1976-10-01,67.31
1977-01-01,69.53
1977-04-01,72.74
1977-07-01,74.40
1977-10-01,77.23
1978-01-01,79.57
1978-04-01,82.77
1978-07-01,85.19
1978-10-01,87.48
1979-01-01,91.42
1979-04-01,94.56
1979-07-01,96.50
1979-10-01,98.22
1980-01-01,100.00
1980-04-01,101.67
1980-07-01,104.46
1980-10-01,104.58
1981-01-01,105.21
1981-04-01,107.42
1981-07-01,108.87
1981-10-01,107.51
1982-01-01,106.12
1982-04-01,108.77
1982-07-01,106.98
1982-10-01,111.67
1983-01-01,114.42
1983-04-01,115.93
1983-07-01,116.94
1983-10-01,117.64
1984-01-01,119.41
1984-04-01,121.02
1984-07-01,122.15
1984-10-01,123.14
1985-01-01,124.88
1985-04-01,126.76
1985-07-01,128.73
1985-10-01,130.16
1986-01-01,132.70
1986-04-01,135.48
1986-07-01,137.55
1986-10-01,139.67
1987-01-01,142.44
1987-04-01,144.66
1987-07-01,146.32
1987-10-01,147.28
1988-01-01,149.57
1988-04-01,152.58
1988-07-01,154.16
1988-10-01,155.56
1989-01-01,157.38
1989-04-01,159.54
1989-07-01,162.94
1989-10-01,164.29
1990-01-01,165.22
1990-04-01,165.91
1990-07-01,166.93
1990-10-01,166.28
1991-01-01,167.66
1991-04-01,168.77
1991-07-01,169.10
1991-10-01,171.47
1992-01-01,172.79
1992-04-01,172.75
1992-07-01,174.72
1992-10-01,175.60
1993-01-01,175.68
1993-04-01,177.36
1993-07-01,178.80
1993-10-01,180.27
1994-01-01,181.39
1994-04-01,182.46
1994-07-01,183.22
1994-10-01,183.06
1995-01-01,184.02
1995-04-01,187.05
1995-07-01,189.94
1995-10-01,191.40
1996-01-01,193.54
1996-04-01,193.85
1996-07-01,194.72
1996-10-01,196.24
1997-01-01,197.86
1997-04-01,199.49
1997-07-01,202.21
1997-10-01,204.84
1998-01-01,207.91
1998-04-01,209.77
1998-07-01,212.71
1998-10-01,215.22
1999-01-01,217.48
1999-04-01,220.38
1999-07-01,223.51
1999-10-01,225.80
2000-01-01,230.12
2000-04-01,233.87
2000-07-01,238.14
2000-10-01,241.78
2001-01-01,247.76
2001-04-01,251.92
2001-07-01,255.83
2001-10-01,258.99
2002-01-01,262.71
2002-04-01,267.19
2002-07-01,272.49
2002-10-01,276.36
2003-01-01,279.72
2003-04-01,283.14
2003-07-01,287.51
2003-10-01,295.64
2004-01-01,300.29
2004-04-01,307.63
2004-07-01,319.35
2004-10-01,326.20
2005-01-01,333.69
2005-04-01,344.39
2005-07-01,354.84
2005-10-01,362.87
2006-01-01,368.62
2006-04-01,372.39
2006-07-01,375.45
2006-10-01,379.30
2007-01-01,380.72
2007-04-01,380.47
2007-07-01,376.22
2007-10-01,374.99
2008-01-01,372.23
2008-04-01,362.84
2008-07-01,351.39
2008-10-01,348.15
2009-01-01,350.72
2009-04-01,341.53
2009-07-01,332.62
2009-10-01,330.09
2010-01-01,326.15
2010-04-01,323.19
2010-07-01,326.33
2010-10-01,324.00
2011-01-01,315.00
2011-04-01,309.46
2011-07-01,311.77
2011-10-01,313.20
2012-01-01,309.92
2012-04-01,308.50
2012-07-01,312.62
2012-10-01,315.07
2013-01-01,316.63
2013-04-01,321.45
2013-07-01,326.04
2013-10-01,328.63
2014-01-01,331.32
2014-04-01,337.75
2014-07-01,342.63
2014-10-01,345.40
2015-01-01,349.20
2015-04-01,354.88
2015-07-01,359.90
2015-10-01,362.79
2016-01-01,366.13
2016-04-01,372.97
2016-07-01,379.62
2016-10-01,382.56
2017-01-01,385.28
2017-04-01,393.89
2017-07-01,399.95
2017-10-01,403.27
2018-01-01,408.94
2018-04-01,416.45
2018-07-01,421.56
2018-10-01,422.99
2019-01-01,427.73
2019-04-01,434.88
2019-07-01,440.42
2019-10-01,444.34
2020-01-01,449.49
2020-04-01,454.00
2020-07-01,462.00
2020-10-01,472.14
2021-01-01,483.55
2021-04-01,510.41
2021-07-01,538.84
2021-10-01,557.32
2022-01-01,577.74
2022-04-01,615.49
2022-07-01,625.44
2022-10-01,619.68
2023-01-01,623.28
2023-04-01,642.17
2023-07-01,653.73
2023-10-01,655.69
2024-01-01,664.22
2024-04-01,681.11
2024-07-01,687.80
2024-10-01,690.90
